,MAILWGT,POPDOC,YEAR,SPECCAT,MULTI1,ACEPTNEW,NPRIVATE,NMEDCARE,NMEDCAID,NWORKCMP,NSELFPAY,NNOCHRGE,IPAPHO,MCAREINS,OWNS1,NPCMH,NACO,NP4P,NMU,MIPS,APM,NOMIPSAPM,EMEDREC,EHRSAT,HHSMU,ESDOH,EBEHAV,ECPOE,ESCRIP,EWARN,ECTOE,ERADI,EREMIND,ECREATERES,EMSG,EGENLIST,ECCREPO,ECREATEPLAN,ESENDCQM,TEMP,TEMPCUSTOM,TEMPNOTES,FREENOTES,TELEMED,EPTREC,EDLREC,ESENDREC,SLFMOND,CSFREQ,CSELECT,PDMPFREQ,PDMPCHECK,PDMPUSE,PDMPSTATE,PDMP1,PDMP2,PDMP3,PDMP4,PDMP5,PDMP6,PDMP7,PDMP8,PDMP9,METHSRPAP,METHSEHRWEB,SEAMBOUT,SEHOSPU,SEBHP,SELTCP,METHREHRWEB,REAMBOUT,REHOSPU,REBHP,RELTCP,PHAPHI,PHA1,PHA2,PHA3,PHA4,HPCNOT,HREF,HEDNOT,HTOCSUM,NSEARCH,NPCNOT,NVAX,NCSUM,INTPHI,INTCSUM,COMPMED,COMPALL,COMPPROB,CINPOC,EUSEPHIOUT,REASON1,REASON2,REASON3,REASON4,REASON5,REASON6,HIEQOC,HIEEFF,HIEPRVRXER,HIECARE,HIEDUPTEST,LACKCAP,ITSTAFF,HIECOSTOUT,MULPORTOUT,EVENDOROTH,INFOHIE,ELOCATADD,LOSEPAT,TIMEOUT,STAFFSUP,EASEDOC,TIMEDOC,TIMEPAT,TIMEBILL,DOCALIGN,WCOMPEMR,COMPTYPE,WAVECOMP,MDDO,PHYSEX,PAGE50,DISPEMR,EHRNAME,MULTIR1,LOCSIZCAT,PSIZECAT_P,NUMLOC_P,MIDLEVP1_P,PCTMCAID_P,SETTING_P,PHYID_P,STRAT_P
10,1460.08673,16319.13501665901,2018.0,1.0,1.0,1.0,1.0,1.0,1.0,-8.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-7.0,-7.0,1.0,2.0,-9.0,1.0,-8.0,2.0,2.0,2.0,1.0,2.0,-8.0,-8.0,2.0,-8.0,2.0,3.0,-9.0,-9.0,2.0,-9.0,-9.0,-9.0,-9.0,1.0,3.0,2.0,2.0,2.0,-8.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,-8.0,1.0,-8.0,-8.0,-8.0,3.0,2.0,3.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,-7.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,1333.0,2.0
11,1460.08673,16319.13501665901,2018.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,-8.0,1.0,-8.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,2.0,1.0,2.0,-7.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,3.0,2.0,4.0,2.0,2.0,1.0,1.0,-8.0,1.0,-8.0,-8.0,2.0,4.0,2.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,7.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,192.0,2.0
12,1460.08673,16319.13501665901,2018.0,1.0,2.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,-8.0,-8.0,-8.0,-8.0,1.0,2.0,2.0,2.0,2.0,-8.0,-8.0,-8.0,-8.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,2.0,2.0,2.0,-7.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,-8.0,-8.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,7.0,2.0,5.0,2.0,1.0,4.0,3.0,2.0,50.0,2.0
13,349.37982,2200.4845343020056,2018.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-7.0,-7.0,2.0,2.0,2.0,-7.0,-7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-7.0,-7.0,-7.0,-7.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,-7.0,-7.0,-7.0,-7.0,2.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,4.0,4.0,4.0,4.0,2.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,4.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,-7.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,379.0,3.0
14,349.37982,2200.4845343020056,2018.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,1.0,2.0,-7.0,-7.0,-7.0,2.0,-7.0,1.0,1.0,1.0,2.0,2.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1887.0,3.0
15,349.37982,2200.4845343020056,2018.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,-9.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-8.0,-8.0,1.0,1.0,1.0,-8.0,-8.0,2.0,3.0,2.0,2.0,1.0,1.0,-8.0,-8.0,-8.0,3.0,-8.0,-8.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,1.0,-8.0,-8.0,-8.0,-8.0,1.0,1.0,-8.0,-8.0,1.0,-8.0,-7.0,-7.0,-7.0,-7.0,1.0,-9.0,-9.0,1.0,1.0,1.0,2.0,1.0,-8.0,-7.0,1.0,1.0,1.0,2.0,2.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,2.0,1.0,1.0,1.0,-8.0,2.0,2.0,2.0,-8.0,2.0,-8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-9.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,7.0,2.0,5.0,5.0,1.0,-9.0,-9.0,2.0,1927.0,3.0
16,349.37982,2200.4845343020056,2018.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,-8.0,-7.0,-7.0,-7.0,-7.0,2.0,-7.0,-7.0,-7.0,-7.0,-8.0,-7.0,-7.0,-7.0,-7.0,4.0,4.0,4.0,4.0,2.0,-7.0,-7.0,-7.0,2.0,-7.0,2.0,2.0,2.0,2.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,-9.0,1.0,1.0,2.0,-8.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,-9.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,971.0,3.0
17,349.37982,2200.4845343020056,2018.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,-8.0,-8.0,-8.0,-8.0,-8.0,1.0,1.0,-8.0,-8.0,3.0,3.0,2.0,3.0,1.0,1.0,-8.0,-8.0,-8.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,2.0,2.0,2.0,-7.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,4.0,2.0,1.0,444.0,3.0
18,460.4256,1895.5299429054935,2018.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,-8.0,1.0,1.0,1.0,-8.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,-8.0,1.0,-8.0,2.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-9.0,-9.0,-9.0,2.0,-7.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,3.0,4.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,629.0,4.0
19,460.4256,1895.5299429054935,2018.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,-8.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,-9.0,-9.0,1.0,1.0,-8.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,-7.0,-7.0,-7.0,1.0,1.0,-8.0,-8.0,2.0,3.0,1.0,1.0,1.0,2.0,-8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,-7.0,-7.0,-7.0,-7.0,2.0,-7.0,-7.0,-7.0,-7.0,-8.0,-7.0,-7.0,-7.0,-7.0,4.0,4.0,4.0,4.0,2.0,-7.0,-7.0,-7.0,2.0,-7.0,1.0,-8.0,2.0,4.0,-7.0,0.0,0.0,0.0,1.0,0.0,0.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,2.0,2.0,1.0,1.0,2.0,-8.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,2.0,1.0,4.0,2.0,5.0,5.0,1.0,4.0,0.0,2.0,1566.0,4.0
